date	close
28-Jan-00	4
29-Jan-00	2
31-Jan-00	3
3-Feb-00	4
4-Feb-00	12
10-Feb-00	4
11-Feb-00	4
12-Feb-00	4
14-Feb-00	1
16-Feb-00	1
17-Feb-00	14
18-Feb-00	8
21-Feb-00	4
22-Feb-00	3
23-Feb-00	1
24-Feb-00	1
2-Mar-00	1
3-Mar-00	1
10-Mar-00	1
13-Mar-00	1
14-Mar-00	3
3-Apr-00	11
4-Apr-00	3
11-Apr-00	1
12-Apr-00	1
13-Apr-00	1
21-Apr-00	1
3-May-00	2
12-May-00	1
16-May-00	1
17-May-00	3
21-May-00	1
22-May-00	4
23-May-00	9
24-May-00	5
25-May-00	5
26-May-00	3
27-May-00	4
28-May-00	2
29-May-00	11
30-May-00	7
9-Jun-00	5
13-Jun-00	2
14-Jun-00	6
21-Jun-00	11
23-Jun-00	3
27-Jun-00	1
28-Jun-00	1
29-Jun-00	1
2-Jul-00	1
4-Jul-00	4
9-Jul-00	3
10-Jul-00	2
11-Jul-00	1
12-Jul-00	1
18-Jul-00	2
20-Jul-00	2
21-Jul-00	1
23-Jul-00	1
24-Jul-00	1
25-Jul-00	2
28-Jul-00	1
1-Aug-00	1
4-Aug-00	1
12-Aug-00	1
22-Aug-00	8
23-Aug-00	6
24-Aug-00	1
26-Aug-00	2
1-Sep-00	1
14-Sep-00	1
20-Sep-00	1
22-Sep-00	3
28-Sep-00	8
29-Sep-00	2
12-Oct-00	1
18-Oct-00	1
5-Nov-00	6
6-Nov-00	2
10-Nov-00	2
23-Nov-00	2
6-Dec-00	1
7-Dec-00	2
17-Dec-00	1
18-Dec-00	2
19-Dec-00	1
30-Dec-00	6
31-Dec-00	1
1-Jan-01	4
2-Jan-01	1
4-Jan-01	6
5-Jan-01	9
6-Jan-01	13
7-Jan-01	3
8-Jan-01	23
9-Jan-01	11
10-Jan-01	9
11-Jan-01	1
14-Jan-01	3
15-Jan-01	3
16-Jan-01	2
19-Jan-01	1
20-Jan-01	1
23-Jan-01	4
24-Jan-01	2
25-Jan-01	5
1-Feb-01	2
2-Feb-01	5
11-Feb-01	2
12-Feb-01	4
13-Feb-01	4
16-Feb-01	2
17-Feb-01	4
18-Feb-01	3
21-Feb-01	2
22-Feb-01	2
23-Feb-01	11
25-Feb-01	2
26-Feb-01	3
28-Feb-01	4
1-Mar-01	2
2-Mar-01	1
9-Mar-01	1
11-Mar-01	5
13-Mar-01	7
15-Mar-01	5
16-Mar-01	5
18-Mar-01	3
22-Mar-01	4
24-Mar-01	2
25-Mar-01	4
26-Mar-01	3
29-Mar-01	3
30-Mar-01	2
2-Apr-01	4
3-Apr-01	2
4-Apr-01	1
5-Apr-01	1
6-Apr-01	14
7-Apr-01	5
9-Apr-01	2
10-Apr-01	2
11-Apr-01	5
14-Apr-01	7
16-Apr-01	3
17-Apr-01	6
18-Apr-01	31
19-Apr-01	5
20-Apr-01	18
21-Apr-01	8
22-Apr-01	11
23-Apr-01	6
24-Apr-01	3
25-Apr-01	3
26-Apr-01	13
27-Apr-01	1
29-Apr-01	2
30-Apr-01	4
1-May-01	2
2-May-01	1
7-Jun-01	1
2-Jul-01	2
5-Jul-01	1
19-Jul-01	1
20-Jul-01	1
4-Sep-01	2
16-Sep-01	1
8-Oct-01	4
9-Oct-01	2
5-Nov-01	4
28-Nov-01	2
23-Dec-01	7
24-Dec-01	8
25-Dec-01	1
26-Dec-01	1
27-Dec-01	6
28-Dec-01	6
29-Dec-01	4
30-Dec-01	10
31-Dec-01	4
1-Jan-02	7
2-Jan-02	4
3-Jan-02	13
4-Jan-02	9
5-Jan-02	10
6-Jan-02	19
7-Jan-02	15
8-Jan-02	4
9-Jan-02	11
10-Jan-02	14
11-Jan-02	13
12-Jan-02	27
13-Jan-02	23
14-Jan-02	15
15-Jan-02	26
16-Jan-02	23
17-Jan-02	15
18-Jan-02	14
19-Jan-02	3
20-Jan-02	2
21-Jan-02	18
22-Jan-02	10
23-Jan-02	35
24-Jan-02	21
25-Jan-02	11
26-Jan-02	15
27-Jan-02	6
28-Jan-02	21
29-Jan-02	11
30-Jan-02	45
31-Jan-02	32
1-Feb-02	6
2-Feb-02	17
3-Feb-02	16
4-Feb-02	17
5-Feb-02	6
6-Feb-02	5
7-Feb-02	21
8-Feb-02	26
9-Feb-02	9
10-Feb-02	1
11-Feb-02	28
12-Feb-02	23
13-Feb-02	6
14-Feb-02	12
15-Feb-02	7
16-Feb-02	4
